Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MSM,Vascular and Interventional Radiology,CLARK INTERVENTIONAL RADIOLOGY,77,,,NOT IN AMB LIST
MSM,Behavioral Health,MS SLR BH OPC 411W 114,0,,,DEACTIVATE?
MSM,General Surgery,MS SLR PRI SURG 1111 AMSTERDAM AVE SEC D,0,,,DEACTIVATE?
MSM,Surgery,MS SLR PRI SURG 1111 AMSTERDAM AVE SEC D,0,,,DEACTIVATE?
MSM,Neurology,MSM NEUROLOGY DIAGNOSTICS,35,,,
MSQ,*No specialty,25-20 30TH AVE INFUSION,0,,,DEACTIVATE?
MSQ,*No specialty,25-20 30TH AVE LAB,0,,,DEACTIVATE?
MSQ,*No specialty,25-20 30TH AVE PFT,0,,,DEACTIVATE?
MSQ,Social Services,31-60 21 ST COLLABORATIVE CARE CLINIC,0,,,DEACTIVATE?
MSQ,Vascular Surgery,36-36 33RD ST VASCULAR,0,,,DEACTIVATE?
MSQ,*No specialty,MSQ AMB SURG PRE TEST,0,,,DEACTIVATE?
MSQ,Cardiology,MSQ CARDIAC CATH LAB,0,,,DEACTIVATE?
MSQ,*No specialty,MSQ CEREBRAL VASCULAR AMB,0,,,DEACTIVATE?
MSQ,*No specialty,MSQ EEG,0,,,DEACTIVATE?
MSUS,Allergy,10 UNION SQ ALLERGY,400,,,
MSUS,Internal Medicine,10 UNION SQ E  PRIMARY CARE,0,,,DEACTIVATE?
MSUS,Speech Therapy,10 UNION SQ E  SPEECH THERAPY,635,,,
MSUS,Internal Medicine,10 UNION SQ E 3N LAB,14,,,
MSUS,Allergy,10 UNION SQ E ALLERGY,0,,,DEACTIVATE?
MSUS,Cardiology,10 UNION SQ E CARDIO,8477,,,
MSUS,Internal Medicine,10 UNION SQ E COVID 19 COE,697,,,
MSUS,Internal Medicine,10 UNION SQ E COVID-19 CENTER OF EXCELLENCE,0,,,DEACTIVATE?
MSUS,Pulmonary Disease and Critical Care,10 UNION SQ E CYSTIC FIBROSIS,290,,,
MSUS,Dermatology,10 UNION SQ E DERM CLINIC,1888,,,
MSUS,Dermatology,10 UNION SQ E DERMATOLOGY,3940,,,
MSUS,Endocrinology,10 UNION SQ E ENDOCRINOLOGY,3003,,,
MSUS,ENT-Otolaryngology,10 UNION SQ E ENT,545,,,
MSUS,ENT-Otolaryngology,10 UNION SQ E ENT OMS,4759,,,
MSUS,Cytopathology,10 UNION SQ E FINE NEEDLE ASPIRATION,173,,,
MSUS,Geriatrics,10 UNION SQ E GERI HOME CERTS,20,,,
MSUS,Geriatrics,10 UNION SQ E GERIATRICS,1715,,,
MSUS,Infectious Diseases/HIV,10 UNION SQ E INFECTIOUS DISEASE,1204,,,
MSUS,Maternal Fetal Medicine,10 UNION SQ E MFM,984,,,
MSUS,Maternal Fetal Medicine,10 UNION SQ E MFM CLINIC,389,,,
MSUS,Neurosurgery,10 UNION SQ E NEUROSURGERY 5P,106,,,
MSUS,OB/Gyn,10 UNION SQ E OB/GYN,3533,,,
MSUS,OB/Gyn,10 UNION SQ E OB/GYN CLINIC,1086,,,
MSUS,OB/Gyn,10 UNION SQ E OBGYN CLINIC,0,,,DEACTIVATE?
MSUS,Occupational Therapy,10 UNION SQ E OCCUPATION PHYS,838,,,
MSUS,Ophthalmology,10 UNION SQ E OPHTHALMOLOGY,558,,,
MSUS,Orthopedics,10 UNION SQ E ORTHO GENERAL,247,,,
MSUS,Orthopedics,10 UNION SQ E ORTHO HAND SURGERY,556,,,
MSUS,Orthopedics,10 UNION SQ E ORTHO JOINT,660,,,
MSUS,Orthopedics,10 UNION SQ E ORTHO SPINE,794,,,
MSUS,Orthopedics,10 UNION SQ E ORTHO SPORTS MED,3747,,,
MSUS,Peds Allergy,10 UNION SQ E PEDS ALLERGY,90,,,
MSUS,Pediatric Cardiology,10 UNION SQ E PEDS CARDIO,318,,,
MSUS,Peds Endocrinology,10 UNION SQ E PEDS ENDO,200,,,
MSUS,Pediatrics,10 UNION SQ E PEDS GEN,2037,,,
MSUS,Peds Gastroenterology,10 UNION SQ E PEDS GI,119,,,
MSUS,Peds Nephrology,10 UNION SQ E PEDS NEPHROLOGY,12,,,
MSUS,Physical Therapy,10 UNION SQ E PEDS PHYSICAL THERAPY,34,,,
MSUS,Peds Pulmonology,10 UNION SQ E PEDS PULM,222,,,
MSUS,Physiatry,10 UNION SQ E PEDS REHAB MEDICINE,33,,,
MSUS,Pulmonary Disease and Critical Care,10 UNION SQ E PFT,0,,,DEACTIVATE?
MSUS,Physiatry,10 UNION SQ E PHYSIATRY,2650,,,
MSUS,Physical Therapy,10 UNION SQ E PHYSICAL THERAPY,6393,,,
MSUS,Podiatry,10 UNION SQ E PODIATRY,504,,,
MSUS,Podiatry,10 UNION SQ E PODIATRY CLINIC,388,,,
MSUS,Internal Medicine,10 UNION SQ E PRIMARY CARE,3837,,,
MSUS,POMA,10 UNION SQ E PST,1182,,,
MSUS,Pre-Surgical Testing,10 UNION SQ E PST,1182,,,
MSUS,Pulmonary Disease and Critical Care,10 UNION SQ E RESP,3825,,,
MSUS,Rheumatology,10 UNION SQ E RHEUMATOLOGY,0,,,DEACTIVATE?
MSUS,Internal Medicine,10 UNION SQ E SOCIAL WORK,63,,,
MSUS,Speech Therapy,10 UNION SQ E SPEECH THERAPY,0,,,DEACTIVATE?
MSUS,Surgery,10 UNION SQ E SURG COL,769,,,
MSUS,Surgery,10 UNION SQ E SURG COLORECTAL,0,,,DEACTIVATE?
MSUS,General Surgery,10 UNION SQ E SURG GEN,1699,,,
MSUS,General Surgery,10 UNION SQ E SURG GENERAL,0,,,DEACTIVATE?
MSUS,Surgical Oncology,10 UNION SQ E SURG ONC,124,,,
MSUS,Surgical Oncology,10 UNION SQ E SURG ONCOLOGY,0,,,DEACTIVATE?
MSUS,Surgery,10 UNION SQ E SURG PLASTIC,432,,,
MSUS,Vascular Surgery,10 UNION SQ E SURG VASC,1297,,,
MSUS,Vascular Surgery,10 UNION SQ E SURG VASCULAR,0,,,DEACTIVATE?
MSUS,Vascular Surgery,10 UNION SQ E SURG VASCULAR LAB,883,,,
MSUS,Internal Medicine,10 UNION SQ E TESTING CENTER,1991,,,
MSUS,Urgent Care,10 UNION SQ E URGENT CARE,4762,,,
MSUS,Urology,10 UNION SQ E UROLOGY,5700,,,
MSUS,Urology,10 UNION SQ E UROLOGY RAD,68,,,
MSUS,Cardiology,10 UNION SQ E VEIN CLINIC,27,,,
MSUS,Cardiology,10 UNION SQ ECHO,2163,,,
MSUS,Endocrinology,10 UNION SQ ENDO THYROID INS,1191,,,
MSUS,Endocrinology,10 UNION SQ ENDO WEIGHT MGT,341,,,
MSUS,Gastroenterology,10 UNION SQ GASTROENTEROLOGY,3687,,,
MSUS,Infectious Diseases/HIV,10 UNION SQ INFECTIOUS DISEASE,0,,,DEACTIVATE?
MSUS,Neurology,10 UNION SQ MOVEMENT DISORDER,1165,,,
MSUS,Nephrology,10 UNION SQ NEPHROLOGY,1415,,,
MSUS,Neurology,10 UNION SQ NEUROLOGY,2266,,,
MSUS,Neurology,10 UNION SQ NEUROPSYCH,312,,,
MSUS,Neurosurgery,10 UNION SQ NEUROSURGERY,211,,,
MSUS,Neurosurgery,10 UNION SQ NEUROSURGERY 5P,0,,,DEACTIVATE?
MSUS,Neurology,10 UNION SQ PEDIATRIC NEUROLOGY,555,,,
MSUS,Pulmonary Disease and Critical Care,10 UNION SQ PFT,92,,,
MSUS,Physiatry,10 UNION SQ PHYSIATRY,0,,,DEACTIVATE?
MSUS,Rheumatology,10 UNION SQ RHEUMATOLOGY,2033,,,
MSUS,Sign Language Services,10 UNION SQ SIGN LANGUAGE,240,,,
MSUS,Cardiology,10 UNION SQ VASC PROC,987,,,
MSUS,Internal Medicine,281 1ST AVE GENERAL MED,3485,,,CROSSCHECK WITH RIGO'S MAPPING
MSUS,Internal Medicine-CPR,317 E 17TH ST TESTING CENTER,0,,,DEACTIVATE?
MSW,Plastic Surgery,1000 10TH  SURG PLASTIC CLINIC,28,,,
MSW,Cardiology,1000 10TH AVE CARDIOLOGY CLINIC,147,,,
MSW,Cardiology,1000 10TH AVE CVI CARDIO VEIN,1,,,DEACTIVATE?
MSW,Cardiology,1000 10TH AVE CVI CARDIOLOGY,6772,,,
MSW,Cardiology,1000 10TH AVE CVI CARDIOLOGY ECHO,2036,,,
MSW,Cardiology,1000 10TH AVE CVI CARDIOLOGY HOLTER,1,,,DEACTIVATE?
MSW,Cardiology,1000 10TH AVE CVI CARDIOLOGY NUCLEAR,347,,,
MSW,Cardiology,1000 10TH AVE CVI CARDIOLOGY VASCULAR,566,,,
MSW,Peds Child Development,1000 10TH AVE DDC CLINIC,0,,,DEACTIVATE?
MSW,Dermatology,1000 10TH AVE DERMATOLOGY CLINIC,0,,,DEACTIVATE?
MSW,Cardiology-Electrophysiology,1000 10TH AVE EP,43,,,
MSW,OB/Gyn,1000 10TH AVE FAMILY PLANNING CLINIC,4,,,
MSW,OB/Gyn,1000 10TH AVE FETAL EVAL CLINIC,0,,,DEACTIVATE?
MSW,Gastroenterology,1000 10TH AVE GASTROENTEROLOGY CLINIC,157,,,
MSW,OB/Gyn,1000 10TH AVE GYN ONC,0,,,DEACTIVATE?
MSW,OB/Gyn,1000 10TH AVE GYN UROLOGY CLINC,174,,,
MSW,OB/Gyn,1000 10TH AVE GYN UROLOGY CLINIC,0,,,DEACTIVATE?
MSW,Orthopedics,1000 10TH AVE HAND CLINIC,136,,,
MSW,Neurology,1000 10TH AVE HEADACHE CLINIC,0,,,DEACTIVATE?
MSW,Infectious Diseases/HIV,1000 10TH AVE IAM,4099,,,
MSW,Dentistry,1000 10TH AVE IAM DENTAL,329,,,
MSW,Vascular and Interventional Radiology,1000 10TH AVE INTERVENTIONAL RADIOLOGY,67,INPATIENT,,
MSW,Liver,1000 10TH AVE LIVER CLINIC,194,,,
MSW,Neurology,1000 10TH AVE NEURODIAGNOSTICS,214,,,
MSW,Neurology,1000 10TH AVE NEUROLOGY,2730,,,
MSW,Neurology,1000 10TH AVE NEUROLOGY CLINIC,238,,,
MSW,Neurosurgery,1000 10TH AVE NEUROSURGERY,1257,,,
MSW,OB/Gyn,1000 10TH AVE OBGYN CLINIC,1390,,,
MSW,OB/Gyn,1000 10TH AVE OBGYN HIGH RISK CLINIC,0,,,DEACTIVATE?
MSW,Orthopedics,1000 10TH AVE ORTHOPEDIC CLINIC,0,,,DEACTIVATE?
MSW,Anesthesiology-Pain Mgmt,1000 10TH AVE PAIN MGMNT CLINIC,0,,,DEACTIVATE?
MSW,Pediatrics,1000 10TH AVE PEDIATRICS,2,INPATIENT,,DEACTIVATE?
MSW,Podiatry,1000 10TH AVE PODIATRY CLINIC,149,,,
MSW,Psychiatry,1000 10TH AVE PSYCHIATRY,1072,,,
MSW,Pulmonary Disease and Critical Care,1000 10TH AVE PULMONARY CLINIC,0,,,DEACTIVATE?
MSW,OB/Gyn,1000 10TH AVE REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY CLINIC,17,,,
MSW,Rheumatology,1000 10TH AVE RHEUMATOLOGY CLINIC,75,,,
MSW,Sleep Medicine,1000 10TH AVE SLEEP DISORDER CLINIC,0,,,DEACTIVATE?
MSW,Pulmonary Disease and Critical Care,1000 10TH AVE SMOKING CESSATION CLINIC,1,,,DEACTIVATE?
MSW,Orthopedics,1000 10TH AVE SPINE CLINIC,50,,,
MSW,Plastic Surgery,1000 10TH AVE SURG PLASTIC CLINIC,0,,,DEACTIVATE?
MSW,Vascular Surgery,1000 10TH AVE SURG VASCULAR CLINIC,0,,,DEACTIVATE?
MSW,General Surgery,1000 10TH AVE SURGERY CLINIC,0,,,DEACTIVATE?
MSW,Urology,1000 10TH AVE UROLOGY CLINIC,0,,,DEACTIVATE?
MSW,Behavioral Health,1000 10TH CITPD,6268,,,
MSW,Cardiology,1000 10TH ECHO,1192,,,
MSW,OB/Gyn,1000 10TH FETAL EVAL CLINIC,1181,,,
MSW,Neurology,1000 10TH HEADACHE CLINIC,37,,,
MSW,OB/Gyn,1000 10TH OBGYN HIGH RISK CLINIC,366,,,
MSW,Orthopedics,1000 10TH ORTHOPEDIC CLINIC,346,,,
MSW,Anesthesiology-Pain Mgmt,1000 10TH PAIN MGMNT,71,,,
MSW,Pulmonary Disease and Critical Care,1000 10TH PFT LAB,342,,,
MSW,Pulmonary Disease and Critical Care,1000 10TH PULMONARY CLINIC,88,,,
MSW,Sleep Medicine,1000 10TH SLEEP DISORDER CLINIC,35,,,
MSW,Vascular Surgery,1000 10TH SURG VASCULAR,0,,,DEACTIVATE?
MSW,Vascular Surgery,1000 10TH SURG VASCULAR CLINIC,0,,,DEACTIVATE?
MSW,Urology,1000 10TH UROLOGY CLINIC,171,,,
MSW,Maternal Fetal Medicine,124 W 60TH ST MFM,819,,,F/U NOT IN AMB LIST
MSW,OB/Gyn,2 W 86TH ST OBGYN,0,INPATIENT,,DEACTIVATE?
MSW,OB/Gyn,200 W 57TH ST OBGYN 10TH FL,2146,,,
MSW,OB/Gyn,200 W 57TH ST OBGYN 13TH FL,3005,,,
MSW,Dermatology,2109 BROADWAY DERM,0,,,DEACTIVATE?
MSW,Endocrinology,2109 BROADWAY ENDOCRINOLOGY,0,,,DEACTIVATE?
MSW,Internal Medicine,2109 BROADWAY IM,7061,,,
MSW,Infectious Diseases/HIV,2109 BROADWAY INFECTIOUS DISEASE,50,,,
MSW,Internal Medicine,2109 BROADWAY POST COVID,122,,,
MSW,Gastroenterology,230 W 74TH ST ENDOSCOPY,0,OTHER,,DEACTIVATE?
MSW,Endocrinology,36 W 60 ST ENDOCRINOLOGY,968,,,
MSW,Infectious Diseases/HIV,36 W 60 ST INFECTIOUS DISEASE,199,,,
MSW,Nephrology,36 W 60 ST NEPHROLOGY,347,,,
MSW,Pulmonary Disease and Critical Care,36 W 60 ST PULMONOLOGY,1507,,,
MSW,Gastroenterology,425 W 59 GASTROENTEROLOGY,1444,,,
MSW,Plastic Surgery,425 W 59 SLW SURG PLASTIC,514,,,
MSW,Surgery,425 W 59 SURG COLORECTAL,1256,,,
MSW,General Surgery,425 W 59 SURG GENERAL,336,,,
MSW,Surgical Oncology,425 W 59 SURG ONCOLOGY,319,,,
MSW,Vascular Surgery,425 W 59 SURG VASCULAR,1182,,,
MSW,Orthopedics,425 W 59TH ORTHO UPPER EXT CV STARR,2607,,,
MSW,CARDIAC SURGERY,425 W 59TH ST CARDIAC SURGERY,0,,,DEACTIVATE?
MSW,Cardiology,425 W 59TH ST CARDIOLOGY,0,,,DEACTIVATE?
MSW,Cardiology,425 W 59TH ST CARDIOLOGY INT,0,,,DEACTIVATE?
MSW,Maternal Fetal Medicine,425 W 59TH ST MFEU,4292,,,
MSW,Neurosurgery,425 W 59TH ST NEUROSURGERY,0,,,DEACTIVATE?
MSW,Orthopedics,425 W 59TH ST ORTHOPEDICS,3735,,,
MSW,ENT-Otolaryngology,425 W 59TH ST OTOLARYNGOLOGY,5435,,,
MSW,Rheumatology,425 W 59TH ST RHEUMATOLOGY,970,,,
MSW,Urology,425 W 59TH ST UROLOGY,3427,,,
MSW,Cardiology,425 W59 ST CARD 9C,0,,,DEACTIVATE?
MSW,Plastic Surgery,425 WEST 59 ST SLW SURG PLASTIC,0,,,DEACTIVATE?
MSW,OB/Gyn,50 W 77TH ST OBGYN,6330,,,
MSW,Orthopedics,910 PARK AVE ORTHOPEDICS,289,,,
MSW,Obstetrics,MAIN 12A (L&D),0,INPATIENT,,DEACTIVATE?
MSW,Orthopedics,MS SLR ORTHO MULTISPEC,0,OTHER,,DEACTIVATE?
NETWORK,Internal Medicine,1010 N BROADWAY INTERNAL MEDICINE,0,,,DEACTIVATE?
NETWORK,Cardiology,1086 N BROADWAY CARDIOLOGY,2078,,,
NETWORK,Gastroenterology,1086 N BROADWAY GASTROENTEROLOGY,87,,,
NETWORK,Internal Medicine,1086 N BROADWAY INTERNAL MEDICINE,3461,,,
NETWORK,Neurology,1086 N BROADWAY NEUROLOGY,1041,,,
NETWORK,Anesthesiology-Pain Mgmt,1086 N BROADWAY PAIN MANAGEMENT,94,,,
NETWORK,Surgery,1086 N BROADWAY THORACIC SURGERY,26,,,
NETWORK,Cardiology,11 RALPH PL. CARD,1177,,,
NETWORK,Cardiology,11 RALPH PLACE CARDIOLOGY SUITE 109 & 201,4016,,,
NETWORK,Surgery,1100 FRANKLIN AVE SURG COLORECTAL,3601,,,
NETWORK,ENT-Otolaryngology,1155 N BLVD ENT OTOLARYNGOLOGY,134,,,
NETWORK,Surgery,1155 NORTHERN BLVD BARIATRIC SURGERY,31,,,
NETWORK,Cardiology,1155 NORTHERN BLVD CARDIOLOGY,3856,,,
NETWORK,Endocrinology,1155 NORTHERN BLVD ENDOCRINE,538,,,
NETWORK,Gastroenterology,1155 NORTHERN BLVD GASTROENTEROLOGY,2868,,,
NETWORK,Gynecology,1155 NORTHERN BLVD GYNECOLOGY,105,,,
NETWORK,Internal Medicine,1155 NORTHERN BLVD INTERNAL MEDICINE,3556,,,
NETWORK,Orthopedics,1155 NORTHERN BLVD ORTHO,853,,,
NETWORK,Vascular Surgery,1155 NORTHERN BLVD SURG VASCULAR,20,,,
NETWORK,Cardiology,116 5TH AVE CARDIOLOGY,85,,,
NETWORK,Endocrinology,116 5TH AVE ENDOCRINOLOGY,85,,,
NETWORK,OB/Gyn,116 5TH AVE GYN,95,,,
NETWORK,Internal Medicine,116 5TH AVE INTERNAL MEDICINE,626,,,
NETWORK,Liver,116 5TH AVE LIVER DISEASE,5,,,
NETWORK,Podiatry,116 5TH AVE PODIATRY,92,,,
NETWORK,Urology,116 5TH AVE UROLOGY,132,,,
NETWORK,Cardiology,1203 AVENUE J CARD,0,,,DEACTIVATE?
NETWORK,Gastroenterology,129 SLOSSON AVE GASTROENTEROLOGY,2006,,,
NETWORK,Cardiology,1436 BROADWAY CARDIOLOGY,56,,,
NETWORK,Endocrinology,1436 BROADWAY ENDOCRINOLOGY,0,,,DEACTIVATE?
NETWORK,Gastroenterology,1436 BROADWAY GASTROENTEROLOGY,32,,,
NETWORK,Internal Medicine,1436 BROADWAY INTERNAL MEDICINE,7114,,,
NETWORK,Liver,1436 BROADWAY LIVER MEDICINE,123,,,
NETWORK,Neurosurgery,1436 BROADWAY NEUROLOGY,573,,,
NETWORK,Neurosurgery,1436 BROADWAY NEUROSURGERY,0,,,DEACTIVATE?
NETWORK,OB/Gyn,1436 BROADWAY OBGYN,242,,,
NETWORK,Pediatrics,1436 BROADWAY PEDIATRICS,948,,,
NETWORK,Peds Gastroenterology,1436 BROADWAY PEDS GASTRO,44,,,
NETWORK,Liver,1436 BROADWAY RMTI LIVER DISEASE,32,,,
NETWORK,Transplant Institute,1436 BROADWAY RMTI LIVER SURGERY,3,,,
NETWORK,Transplant Institute,1436 BROADWAY RMTI TRANSPLANT KIDNEY,122,,,
NETWORK,Transplant Institute,1436 BROADWAY RMTI TRANSPLANT LIVER,68,,,
NETWORK,Surgical Oncology,1436 BROADWAY SURG ONCOLOGY,151,,,
NETWORK,Cardiology,1523 VOORHIES AVE CARDIOLOGY,297,,,
NETWORK,Cardiology,1977 FLATBUSH AVE CARDIOLOGY,2398,,,
NETWORK,Internal Medicine,200 OLD CNTRY RD INTERNAL MEDICINE,344,,,
NETWORK,Cardiology,200 OLD COUNTRY RD CARDIOLOGY,4099,,,
NETWORK,Endocrinology,200 OLD COUNTRY RD ENDOCRINOLOGY,308,,,
NETWORK,Internal Medicine,200 OLD COUNTRY RD INTERNAL MED,0,,,DEACTIVATE?
NETWORK,Urology,200 OLD COUNTRY RD UROLOGY,316,,,
NETWORK,Gastroenterology,207 GLEN COVE AVE GASTROENTEROLOGY,17,,,F/U NOT IN AMB LIST
NETWORK,Internal Medicine,2099 FOREST AVE INTERNAL MEDICINE,322,,,F/U NOT IN AMB LIST
NETWORK,Internal Medicine,2315 VICTORY BLVD INTERNAL MEDICINE LOWER LEVEL,1390,,,
NETWORK,Internal Medicine,2315 VICTORY BLVD INTERNAL MEDICINE MAIN FL,4298,,,
NETWORK,Internal Medicine,25-10 30TH AVE COVID TEST,3891,MSQ,,Corrected by Deirdre Rosado
NETWORK,Neurology,25-10 30TH AVE EEG,12,MSQ,,Corrected by Deirdre Rosado
NETWORK,Cardiology,25-20 30 AVE CARD,0,,,
NETWORK,Endocrinology,25-20 30 AVE ENDO,0,,,
NETWORK,Gastroenterology,25-20 30 AVE GASTRO,0,,,
NETWORK,Internal Medicine,25-20 30 AVE INT MED,0,,,
NETWORK,Nephrology,25-20 30 AVE NEPHROLGY,0,,,
NETWORK,Neurology,25-20 30 AVE NEUROLOGY,0,,,
NETWORK,Neurosurgery,25-20 30 AVE NEUROSURG,0,,,
NETWORK,OB/Gyn,25-20 30 AVE OBGYN,0,,,
NETWORK,Ophthalmology,25-20 30 AVE OPHTH,0,,,
NETWORK,Orthopedics,25-20 30 AVE ORTHO,0,,,
NETWORK,Pediatrics,25-20 30 AVE PEDS,0,,,
NETWORK,Rheumatology,25-20 30 AVE RHEUM,0,,,
NETWORK,General Surgery,25-20 30 AVE SURGERY,0,,,
NETWORK,Urology,25-20 30 AVE URO,0,,,
NETWORK,Cardiology,25-20 30TH AVE CARDIOLOGY,3209,,,
NETWORK,Vascular Surgery,25-20 30TH AVE CARDIOVASCULAR SURGERY,15,,,
NETWORK,Dermatology,25-20 30TH AVE DERMATOLOGY,0,,,
MSH-MSDFP,Multiple Specialty,168 CENTRE ST ONCOLOGY,10,,Oncology,
NETWORK,Endocrinology,25-20 30TH AVE ENDOCRINOLOGY,871,,,
NETWORK,Gastroenterology,25-20 30TH AVE GASTROENTEROLOGY,0,,,
NETWORK,Internal Medicine,25-20 30TH AVE INTERNAL MEDICINE,3746,,,
NETWORK,Vascular and Interventional Radiology,25-20 30TH AVE INTERVENTIONAL RADIOLOGY,52,,,
NETWORK,Liver,25-20 30TH AVE LIVER MEDICINE,5,,,
NETWORK,Nephrology,25-20 30TH AVE NEPHROLOGY,159,,,
NETWORK,Neurology,25-20 30TH AVE NEUROLOGY,252,,,
NETWORK,Neurosurgery,25-20 30TH AVE NEUROSURGERY,195,,,
NETWORK,OB/Gyn,25-20 30TH AVE OB/GYN,980,,,
NETWORK,Ophthalmology,25-20 30TH AVE OPHTHALMOLOGY,1150,,,
NETWORK,Orthopedics,25-20 30TH AVE ORTHOPEDICS,770,,,
NETWORK,Pediatrics,25-20 30TH AVE PEDIATRICS,2062,,,
NETWORK,Pulmonary Disease and Critical Care,25-20 30TH AVE PULMONARY,405,,,
NETWORK,Physical Medicine and Rehab,25-20 30TH AVE REHAB,152,,,
NETWORK,Rheumatology,25-20 30TH AVE RHEUMATOLOGY,244,,,
NETWORK,Transplant Institute,25-20 30TH AVE RMTI  LIVER DISEASE,50,,,
NETWORK,General Surgery,25-20 30TH AVE SURGERY,486,,,
NETWORK,Transplant Institute,25-20 30TH AVE TRANSPLANT INSTITUTE KIDNEY,209,,,
NETWORK,Transplant Institute,25-20 30TH AVE TRANSPLANT INSTITUTE LIVER,72,,,
NETWORK,Urology,25-20 30TH AVE UROLOGY,1056,,,
NETWORK,General Surgery,25-20 30TH AVE VASCULAR SURGERY,661,,,
NETWORK,Internal Medicine,283 BARD AVE INTERNAL MEDICINE,1985,,,
NETWORK,Cardiology,3131 KINGS CARDIOLOGY,0,MSB,,
NETWORK,Cardiology,3131 KINGS HIGHWAY CARDIOLOGY,0,MSB,,
NETWORK,ENT-Otolaryngology,3131 KINGS HIGHWAY ENT,15,MSB,,
NETWORK,Internal Medicine,3131 KINGS HIGHWAY INTERNAL MEDICINE,713,MSB,,
NETWORK,Neurosurgery,3131 KINGS HIGHWAY NEURO ENDOVASC,8,MSB,,
NETWORK,Neurology,3131 KINGS HIGHWAY NEUROLOGY,124,MSB,,
NETWORK,Orthopedics,3131 KINGS HIGHWAY ORTHOPEDICS,81,,,
NETWORK,Surgery,3131 KINGS HIGHWAY SURGERY,28,MSB,,
NETWORK,Urology,3131 KINGS HIGHWAY UROLOGY,3,MSB,,
NETWORK,Thoracic Surgery,3131 KINGS THOR SURG,31,MSB,,
NETWORK,Vascular Surgery,3131 KINGS VASC SURG,0,MSB,,DEACTIVATE?
NETWORK,Cardiology,31-60 21 ST CARDIOLOGY,251,,,
NETWORK,Endocrinology,31-60 21 ST ENDOCRINOLOGY,271,,,
NETWORK,Family Medicine,31-60 21 ST FAMILY MEDICINE,2684,,,
NETWORK,Gastroenterology,31-60 21 ST GASTROENTEROLOGY,0,,,
NETWORK,General Surgery,31-60 21 ST GENERAL SURGERY,286,,,
NETWORK,OB/Gyn,31-60 21 ST GYNECOLOGY,164,,,
NETWORK,Internal Medicine,31-60 21 ST INTERNAL MEDICINE,0,,,
NETWORK,Nephrology,31-60 21 ST NEPHROLOGY,103,,,
NETWORK,Neurology,31-60 21 ST NEUROLOGY,70,,,
NETWORK,OB/Gyn,31-60 21 ST OBSTETRICS,0,,,
NETWORK,Podiatry,31-60 21 ST PODIATRY,186,,,
NETWORK,Rheumatology,31-60 21 ST RHEUMATOLOGY,35,,,
NETWORK,Cardiology,3201 KINGS HWY CARDIOLOGY,974,MSB,,
NETWORK,Vascular and Interventional Radiology,3201 KINGS HWY INTERVENTIONAL RADIOLOGY,190,MSB,,
NETWORK,POMA,3201 KINGS HWY PST,0,,,DEACTIVATE?
NETWORK,Vascular Surgery,3201 KINGS HWY VASCULAR LAB,691,MSB,,
NETWORK,Internal Medicine,341 CENTRAL AVE INTERNAL MEDICINE,0,,,
NETWORK,Allergy,341 CENTRAL PARK AVE ALLERGY,143,,,
NETWORK,Cardiology,341 CENTRAL PARK AVE CARDIOLOGY,1756,,,
NETWORK,Endocrinology,341 CENTRAL PARK AVE ENDOCRINOLOGY,307,,,
NETWORK,Gastroenterology,341 CENTRAL PARK AVE GASTROENTEROLOGY,383,,,
